date,level,appr,R,tod,win50_20,win100_30,lv,conf,pen,press30,flow30,dvel15,flow3,res3,big3,vol3_rel,dtouch,fav60,fav90,thr60,held50,held100,broke20
2025-03-07,PDC,below,-1,3,0,0,20091.0,1,4.0,-14.0,724,82,-259,-24.5,-28,2.833505687693899,-99,166.0,203.25,151.0,1,1,1
2025-03-07,PDEQ,below,-1,293,1,1,20258.125,0,10.875,-94.25,-935,-886,-366,-42.75,-64,1.342916705560223,-52,94.875,159.625,15.875,1,1,0
2025-03-07,PDL,above,1,61,0,0,20003.0,0,31.5,-142.75,-1662,-641,-620,-71.5,-100,1.7468066921897136,-481,84.0,84.0,150.25,1,0,1
2025-03-07,PMH,below,-1,295,1,1,20273.75,1,0.25,-86.25,-1145,-1106,-134,3.75,-32,1.5057487402692626,-30,110.5,175.25,0.0,1,1,0
2025-03-10,PDL,above,1,24,1,0,19765.5,0,21.25,-125.75,-1675,-258,-653,-37.25,-257,1.307675050477354,-544,62.5,62.5,213.5,1,0,1
2025-03-11,ASIAH,below,-1,7,0,0,19495.0,0,45.0,-68.25,-639,-422,-799,-105.0,110,2.4002787389465587,-275,203.75,230.5,119.0,1,1,1
2025-03-11,LDNH,below,-1,18,1,1,19581.75,3,5.5,-107.25,-1778,-1463,-705,-63.25,-12,0.8457385004442621,-311,317.25,317.25,32.25,1,1,1
2025-03-11,LDNL,above,1,2,1,1,19403.0,1,7.5,-34.5,-83,25,182,-13.5,-40,4.023251866938221,-136,211.0,211.0,89.5,1,1,1
2025-03-11,ONH,below,-1,18,1,1,19585.0,3,2.25,-107.25,-1778,-1463,-705,-63.25,-12,0.8457385004442621,-311,320.5,320.5,29.0,1,1,1
2025-03-11,PDC,below,-1,1,1,0,19460.0,0,0.5,9.25,-57,15,-378,-0.5,11,3.889525264095711,-75,146.5,195.5,154.0,1,1,1
2025-03-11,PDEQ,below,-1,19,1,1,19588.375,3,4.875,-127.5,-1947,-1873,-834,-71.75,-57,0.8913042051443612,-179,323.875,323.875,25.625,1,1,1
2025-03-11,PDL,above,1,68,1,1,19272.25,0,2.75,-198.75,-694,-676,-450,-55.75,-304,1.362336990552939,-119,236.25,272.0,7.75,1,1,0
2025-03-11,PMH,below,-1,18,1,1,19585.0,3,2.25,-107.25,-1778,-1463,-705,-63.25,-12,0.8457385004442621,-311,320.5,320.5,29.0,1,1,1
2025-03-12,ASIAH,above,1,87,0,0,19499.75,0,6.75,-143.75,-1237,-16,-723,-65.0,-16,0.9971592431795037,-438,129.5,203.25,104.5,1,1,1
2025-03-12,ASIAL,above,1,93,0,0,19435.5,2,7.0,-95.5,-1011,-736,-308,-25.25,-135,1.4239283114433066,31,202.5,274.0,40.25,1,1,1
2025-03-12,LDNH,above,1,26,1,1,19608.25,0,17.25,-92.0,-2197,-2723,-811,-80.0,-132,1.0755602010465257,-327,117.0,117.0,107.25,1,1,1
2025-03-12,PDEQ,above,1,92,0,0,19443.875,2,6.375,-114.75,-1109,-604,-315,-31.25,-125,1.3912616907146136,-258,194.125,265.625,48.625,1,1,1
2025-03-12,PML,above,1,92,0,0,19441.75,2,4.25,-114.75,-1109,-604,-315,-31.25,-125,1.3912616907146136,-258,196.25,267.75,46.5,1,1,1
2025-03-13,ASIAL,above,1,23,0,0,19435.0,0,8.75,-146.25,-904,-611,-179,-29.0,-84,1.0041647039471224,-123,135.0,135.0,110.5,1,1,1
2025-03-13,LDNL,above,1,24,0,0,19408.75,3,18.75,-171.25,-1489,-714,-754,-55.25,-311,1.2805584390185194,-600,161.25,161.25,84.25,1,1,1
2025-03-13,ONL,above,1,24,0,0,19400.75,3,10.75,-171.25,-1489,-714,-754,-55.25,-311,1.2805584390185194,-600,169.25,169.25,76.25,1,1,1
2025-03-13,PDL,above,1,24,0,0,19395.25,3,5.25,-171.25,-1489,-714,-754,-55.25,-311,1.2805584390185194,-600,174.75,174.75,70.75,1,1,1
2025-03-13,PML,above,1,24,0,0,19408.75,3,18.75,-171.25,-1489,-714,-754,-55.25,-311,1.2805584390185194,-600,161.25,161.25,84.25,1,1,1
2025-03-14,ONH,below,-1,3,0,0,19533.5,1,14.25,-32.75,-469,-114,-692,-44.5,-194,4.376362164518338,-508,96.75,96.75,87.25,1,0,1
2025-03-14,PDH,below,-1,6,0,0,19577.0,0,0.5,-72.75,-768,-1049,-376,-43.25,-58,2.6520601302416162,65,140.25,140.25,43.75,1,1,1
2025-03-14,PMH,below,-1,3,0,0,19533.5,1,14.25,-32.75,-469,-114,-692,-44.5,-194,4.376362164518338,-508,96.75,96.75,87.25,1,0,1
2025-03-17,LDNH,below,-1,1,0,0,19717.0,1,4.25,12.5,503,449,57,-23.5,54,4.963280595396521,38,26.0,45.75,130.75,0,0,1
2025-03-17,ONH,below,-1,6,0,0,19778.5,1,27.0,-78.25,-279,75,-581,-50.75,-66,2.280583338446749,-468,102.5,124.25,69.25,1,1,1
